time,node,"idleness,t_imp"
108.89999999999809,11,0.30000000000000004,0.0
108.89999999999809,12,0.30000000000000004,0.0
108.89999999999809,13,1.4000000000000001,0.0
108.89999999999809,14,3.3000000000000016,0.0
108.89999999999809,15,1.5000000000000002,0.0
108.89999999999809,16,2.1000000000000005,0.0
108.89999999999809,17,2.600000000000001,0.0
108.89999999999809,18,0.2,0.0
108.89999999999809,19,0.30000000000000004,0.0
108.89999999999809,20,1.9000000000000006,2.0999999999999996
108.89999999999809,21,1.4000000000000001,0.0
108.89999999999809,22,0.7999999999999999,0.0
108.89999999999809,23,0.2,0.0
108.89999999999809,24,0.30000000000000004,3.7
108.99999999999808,0,0.0,3.5
108.99999999999808,1,0.5,0.0
108.99999999999808,2,1.0999999999999999,0.0
108.99999999999808,3,1.6000000000000003,0.0
108.99999999999808,4,2.2000000000000006,1.7999999999999994
108.99999999999808,5,0.0,0.0
108.99999999999808,6,3.2000000000000015,0.0
108.99999999999808,7,2.700000000000001,0.0
108.99999999999808,8,2.1000000000000005,0.0
108.99999999999808,9,2.800000000000001,0.0
108.99999999999808,10,0.9999999999999999,0.0
108.99999999999808,11,0.4,0.0
108.99999999999808,12,0.4,0.0
108.99999999999808,13,1.5000000000000002,0.0
108.99999999999808,14,3.4000000000000017,0.0
108.99999999999808,15,1.6000000000000003,0.0
108.99999999999808,16,2.2000000000000006,0.0
108.99999999999808,17,2.700000000000001,0.0
108.99999999999808,18,0.30000000000000004,0.0
108.99999999999808,19,0.4,0.0
108.99999999999808,20,2.0000000000000004,1.9999999999999996
108.99999999999808,21,1.5000000000000002,0.0
108.99999999999808,22,0.8999999999999999,0.0
108.99999999999808,23,0.30000000000000004,0.0
108.99999999999808,24,0.4,3.6
109.09999999999808,0,0.1,3.9
109.09999999999808,1,0.6,0.0
109.09999999999808,2,1.2,0.0
109.09999999999808,3,1.7000000000000004,0.0
109.09999999999808,4,2.3000000000000007,1.6999999999999993
109.09999999999808,5,0.1,0.0
109.09999999999808,6,3.3000000000000016,0.0
109.09999999999808,7,2.800000000000001,0.0
109.09999999999808,8,2.2000000000000006,0.0
109.09999999999808,9,2.9000000000000012,0.0
109.09999999999808,10,1.0999999999999999,0.0
109.09999999999808,11,0.5,0.0
109.09999999999808,12,0.0,0.0
109.09999999999808,13,1.6000000000000003,0.0
109.09999999999808,14,3.5000000000000018,0.0
109.09999999999808,15,1.7000000000000004,0.0
109.09999999999808,16,2.3000000000000007,0.0
109.09999999999808,17,0.0,0.0
109.09999999999808,18,0.4,0.0
109.09999999999808,19,0.5,0.0
109.09999999999808,20,2.1000000000000005,1.8999999999999995
109.09999999999808,21,1.6000000000000003,0.0
109.09999999999808,22,0.9999999999999999,0.0
109.09999999999808,23,0.4,0.0
109.09999999999808,24,0.5,3.5
109.19999999999807,0,0.2,3.8
109.19999999999807,1,0.7,0.0
109.19999999999807,2,1.3,0.0
109.19999999999807,3,1.8000000000000005,0.0
109.19999999999807,4,2.400000000000001,1.5999999999999992
109.19999999999807,5,0.2,0.0
109.19999999999807,6,3.4000000000000017,0.0
109.19999999999807,7,2.9000000000000012,0.0
109.19999999999807,8,2.3000000000000007,0.0
109.19999999999807,9,3.0000000000000013,0.0
109.19999999999807,10,1.2,0.0
109.19999999999807,11,0.6,0.0
109.19999999999807,12,0.1,0.0
109.19999999999807,13,0.0,0.0
109.19999999999807,14,3.600000000000002,0.0
109.19999999999807,15,1.8000000000000005,0.0
109.19999999999807,16,2.400000000000001,0.0
109.19999999999807,17,0.1,0.0
109.19999999999807,18,0.0,0.0
109.19999999999807,19,0.6,0.0
109.19999999999807,20,2.2000000000000006,1.7999999999999994
109.19999999999807,21,1.7000000000000004,0.0
109.19999999999807,22,1.0999999999999999,0.0
109.19999999999807,23,0.5,0.0
